Rows & Cols, Channels, Filters, Memory Usage 
16, 16, 16, 49kB 
16, 16, 32, 83kB 
16, 16, 48, 116kB 
16, 16, 64, 150kB 
16, 16, 80, 183kB 
16, 16, 96, 217kB 
16, 16, 128, 284kB 
16, 32, 16, 74kB 
16, 32, 32, 117kB 
16, 32, 48, 159kB 
16, 32, 64, 202kB 
16, 32, 80, 244kB 
16, 32, 96, 287kB 
16, 32, 128, 372kB 
16, 48, 16, 99kB 
16, 48, 32, 151kB 
16, 48, 48, 202kB 
16, 48, 64, 254kB 
16, 48, 80, 305kB 
16, 48, 96, 357kB 
16, 48, 128, 460kB 
16, 64, 16, 124kB 
16, 64, 32, 185kB 
16, 64, 48, 245kB 
16, 64, 64, 306kB 
16, 64, 80, 366kB 
16, 64, 96, 427kB 
16, 80, 16, 149kB 
16, 80, 32, 219kB 
16, 80, 48, 288kB 
16, 80, 64, 358kB 
16, 80, 80, 427kB 
16, 80, 96, 497kB 
16, 96, 16, 174kB 
16, 96, 32, 253kB 
16, 96, 48, 331kB 
16, 96, 64, 410kB 
16, 96, 80, 488kB 
16, 128, 16, 224kB 
16, 128, 32, 321kB 
16, 128, 48, 417kB 
32, 16, 16, 185kB 
32, 16, 32, 307kB 
32, 16, 48, 428kB 
32, 32, 16, 258kB 
32, 32, 32, 389kB 
32, 48, 16, 331kB 
32, 48, 32, 471kB 
32, 64, 16, 404kB 
32, 80, 16, 477kB 
48, 16, 16, 417kB 
