Address,Data
0,0
1000,101
1004,110
1008,189
1012,95
1016,65
1020,246
1024,80
1028,120
1032,105
1036,60
1040,70
1044,89
1048,105
1052,95
1056,101
1060,150
1064,99
1068,189
1072,216
1076,253
1080,115
1084,22
1088,120
1092,103
1096,230
1100,88
1104,194
1108,153
1112,231
1116,43
1120,177
1124,42
1128,98
1132,94
1136,101
1140,110
1144,189
1148,95
1152,65
1156,246
1160,80
1164,120
1168,253
1172,115
1176,22
1180,120
1184,103
1188,230
1192,88
1196,194
1200,153
1204,231
1208,43
1212,177
1216,150
1220,99
1224,189
1228,216
1232,253
1236,115
1240,22
1244,-1
