Address,Data
0,0
1000,101
1004,110
1008,189
1012,95
1016,65
1020,246
1024,80
1028,120
1032,105
1036,60
1040,70
1044,89
1048,105
1052,95
1056,101
1060,150
1064,99
1068,189
1072,216
1076,253
1080,115
1084,22
1088,120
1092,103
1096,230
1100,88
1104,194
1108,153
1112,231
1116,43
1120,177
1124,42
1128,98
1132,94
1136,101
1140,110
1144,189
1148,95
1152,65
1156,246
1160,80
1164,120
1168,253
1172,115
1176,22
1180,120
1184,103
1188,230
1192,88
1196,194
1200,153
1204,231
1208,43
1212,177
1216,150
1220,99
1224,189
1228,216
1232,253
1236,115
1240,22
1244,-1
4,106
8,103
12,102
16,104
20,125
24,118
28,105
32,140
36,125
40,124
44,119
48,104
52,96
56,94
60,97
64,96
68,97
72,111
76,108
80,128
84,150
88,176
92,160
96,126
100,124
104,119
108,147
112,132
116,148
120,149
124,169
128,138
132,148
136,121
140,115
144,110
148,108
152,108
156,129
160,120
164,106
168,141
172,126
176,125
180,157
184,146
188,115
192,116
196,113
200,142
204,129
208,145
212,147
216,168
220,137
224,147
228,148
232,135
236,149
240,166
244,187
248,169
