Address,Data
0,10000
4,0
100,0
104,1022
108,1022
112,1012
116,2034
120,990
124,3024
128,959
132,3982
136,917
140,4899
144,865
148,5765
152,805
156,6570
160,736
164,7306
168,660
172,7966
176,576
180,8542
184,487
188,9029
192,392
196,9421
200,293
204,9714
208,192
212,9906
216,88
220,9994
224,-17
228,9977
232,-121
236,9856
240,-225
244,9631
248,-325
252,9306
256,-423
260,8883
264,-516
268,8367
272,-604
276,7763
280,-685
284,7078
288,-759
292,6319
296,-825
300,5494
304,-883
308,4611
312,-931
316,3679
320,-970
324,2710
328,-998
332,1711
336,-1016
340,695
344,-1023
348,-328
352,-1020
356,-1348
360,-1006
364,-2354
368,-981
372,-3335
376,-946
380,-4281
384,-901
388,-5183
392,-847
396,-6030
400,-784
404,-6814
408,-713
412,-7526
416,-634
420,-8160
424,-548
428,-8708
432,-457
436,-9165
440,-361
444,-9526
448,-261
452,-9787
456,-159
460,-9946
464,-54
468,-10000
472,50
476,-9950
480,155
484,-9795
488,257
492,-9538
496,357
500,-9181
504,453
508,-8727
512,545
516,-8183
520,630
524,-7552
528,710
532,-6843
536,781
540,-6061
544,845
548,-5217
552,899
556,-4317
560,945
564,-3372
568,980
572,-2392
576,1005
580,-1387
584,1020
